City,Edition,Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
London,2012,Handball,Handball,"KOPLJAR, Marko",CRO,Men,handball,M,Bronze
London,2012,Taekwondo,Taekwondo,"MUNOZ, OVIEDO Oscar",COL,Men,- 58 kg,M,Bronze
London,2012,Wrestling,Wrestling Free.,"LOPEZ, AZCUY Livan",CUB,Men,61 - 66kg (lightweight),M,Bronze
London,2012,Taekwondo,Taekwondo,"DESPAIGNE, Robelis",CUB,Men,+ 80 kg,M,Bronze
London,2012,Cycling,BMX,"OQUENDO, ZABALA Carlos Mario",COL,Men,Individual,M,Bronze
London,2012,Judo,Judo,"ALVEAR, Yuri",COL,Women,63 - 70kg (half-middleweight),W,Bronze
London,2012,Athletics,Athletics,"SUAREZ, Leonel",CUB,Unknown,decathlon,X,Bronze
London,2012,Boxing,Boxing,"ESTRADA, Lazaro Jorge Alvarez",CUB,Men,47.63 - 52.16kg (bantamweight),M,Bronze
London,2012,Boxing,Boxing,"TOLEDO, LOPEZ Yasniel",CUB,Men,57 - 60kg (lightweight),M,Bronze
London,2012,Canoe / Kayak,Canoe / Kayak F,"TREFIL, Lukas",CZE,Men,K-4 1000m (kayak four),M,Bronze
London,2012,Badminton,Badminton,"PEDERSEN, Christinna",DEN,Unknown,doubles,X,Bronze
London,2012,Sailing,Sailing,"LANG, Peter",DEN,Men,49er - Skiff,M,Bronze
London,2012,Rowing,Rowing,"EBBESEN, Eskild",DEN,Men,lightweight coxless four (4-),M,Bronze
London,2012,Canoe / Kayak,Canoe / Kayak F,"DOSTAL, Josef",CZE,Men,K-4 1000m (kayak four),M,Bronze
London,2012,Canoe / Kayak,Canoe / Kayak F,"HAVEL, Daniel",CZE,Men,K-4 1000m (kayak four),M,Bronze
London,2012,Shooting,Shooting,"SYKOROVA, Adela",CZE,Women,50m rifle 3 positions (3x40 shots),W,Bronze
London,2012,Athletics,Athletics,"HEJNOVA, Zuzana",CZE,Women,400m hurdles,W,Bronze
London,2012,Rowing,Rowing,"WINTHER, Kasper",DEN,Men,lightweight coxless four (4-),M,Bronze
London,2012,Canoe / Kayak,Canoe / Kayak F,"STERBA, Jan",CZE,Men,K-4 1000m (kayak four),M,Bronze
London,2012,Wrestling,Wrestling Free.,"UNDA, Maider",ESP,Women,66 - 72kg (welterweight),W,Bronze
London,2012,Sailing,Sailing,"NORREGAARD, Allan",DEN,Men,49er - Skiff,M,Bronze
London,2012,Badminton,Badminton,"FISCHER, Joachim",DEN,Unknown,doubles,X,Bronze
London,2012,Rowing,Rowing,"BARSOE, Jacob",DEN,Men,lightweight coxless four (4-),M,Bronze
London,2012,Rowing,Rowing,"JORGENSEN, Morten",DEN,Men,lightweight coxless four (4-),M,Bronze
London,2012,Aquatics,Swimming,"STOECKEL, Hayden",AUS,Men,4x100m medley relay,M,Bronze
London,2012,Cycling,Cycling Track,"EDMONDSON, Annette",AUS,Women,12-hour race,W,Bronze
London,2012,Boxing,Boxing,"MAMMADOV, Teymur",AZE,Men,+ 91kg (super heavyweight),M,Bronze
London,2012,Boxing,Boxing,"MEDZHIDOV, Magomedrasul",AZE,Men,+ 91kg (super heavyweight),M,Bronze
London,2012,Weightlifting,Weightlifting,"HRISTOV, Valentin",AZE,Men,"- 56kg, total (bantamweight)",M,Bronze
London,2012,Wrestling,Wrestling Gre-R,"AHMADOV, Emin",AZE,Men,68 - 74kg (welterweight),M,Bronze
London,2012,Wrestling,Wrestling Free.,"RATKEVICH, Yuliya",AZE,Women,- 55kg,W,Bronze
London,2012,Wrestling,Wrestling Free.,"GAZYUMOV, Khetag",AZE,Men,84 - 96kg,M,Bronze
London,2012,Weightlifting,Weightlifting,"SHKERMANKOVA, Maryna",BLR,Women,69kg,W,Bronze
London,2012,Weightlifting,Weightlifting,"KULESHA, Iryna",BLR,Women,"67.5 - 75kg, one-two hand 3 events (middleweight)",W,Bronze
London,2012,Canoe / Kayak,Canoe / Kayak F,"PAUTARAN, Maryna",BLR,Women,K-4 500m (kayak four),W,Bronze
London,2012,Canoe / Kayak,Canoe / Kayak F,"KHUDZENKA, Volha",BLR,Women,K-4 500m (kayak four),W,Bronze
London,2012,Canoe / Kayak,Canoe / Kayak F,"PAPOK, Nadzeya",BLR,Women,K-4 500m (kayak four),W,Bronze
London,2012,Canoe / Kayak,Canoe / Kayak F,"PAMIALOVA, Iryna",BLR,Women,K-4 500m (kayak four),W,Bronze
London,2012,Gymnastics,Trampoline,"LU, Chunlong",CHN,Men,individual,M,Bronze
London,2012,Sailing,Sailing,"V,an ACKER Evi",BEL,Women,Laser Radial - One Person Dinghy,W,Bronze
London,2012,Judo,Judo,"VAN SNICK, Charline",BEL,Women,- 48kg (extra-lightweight),W,Bronze
London,2012,Gymnastics,Rhythmic G.,"CHARKASHYNA, Liubou",BLR,Women,individual all-round,W,Bronze
London,2012,Gymnastics,Trampoline,"HE, Wenna",CHN,Women,individual,W,Bronze
London,2012,Badminton,Badminton,"CHEN, Long",CHN,Men,singles,M,Bronze
London,2012,Aquatics,Swimming,"RICKARD, Brenton",AUS,Men,4x100m medley relay,M,Bronze
London,2012,Aquatics,Swimming,"TARGETT, Matt",AUS,Men,4x100m medley relay,M,Bronze
London,2012,Aquatics,Swimming,"D,'ORSOGNA Tommaso",AUS,Men,4x100m medley relay,M,Bronze
London,2012,Rowing,Rowing,"DELL, Natalie",USA,Women,quadruple sculls with coxswain (4x),W,Bronze
London,2012,Fencing,Fencing,"HURLEY, Courtney",USA,Women,foil team,W,Bronze
London,2012,Athletics,Athletics,"HOFFA, Reese",USA,Men,shot put,M,Bronze
London,2012,Aquatics,Swimming,"WEIR, Amanda",USA,Women,4x100m freestyle relay,W,Bronze
London,2012,Aquatics,Swimming,"VANDERKAAY, Peter",USA,Men,400m freestyle,M,Bronze
London,2012,Wrestling,Wrestling Free.,"SCOTT, Coleman",USA,Men,- 60kg (featherweight),M,Bronze
London,2012,Judo,Judo,"MALLOY, Marti",USA,Women,52 - 57kg (lightweight),W,Bronze
London,2012,Boxing,Boxing,"ESPARZA, Marlen",USA,Women,- 51kg (flyweight),W,Bronze
London,2012,Shooting,Shooting,"EMMONS, Matt",USA,Men,50m rifle 3 positions (3x40 shots),M,Bronze
London,2012,Aquatics,Diving,"DUMAIS, Troy",USA,Men,3m springboard,M,Bronze
London,2012,Aquatics,Swimming,"COUGHLIN, Natalie",USA,Women,4x100m freestyle relay,W,Bronze
London,2012,Cycling,Mountain Bike,"GOULD, Georgia",USA,Women,cross-country,W,Bronze
London,2012,Aquatics,Swimming,"NEAL, Lia",USA,Women,4x100m freestyle relay,W,Bronze
London,2012,Rowing,Rowing,"RUMMEL, Henrik",USA,Men,four-oared shell with coxswain (4-),M,Bronze
London,2012,Fencing,Fencing,"SCANLAN, Susie",USA,Women,foil team,W,Bronze
London,2012,Rowing,Rowing,"MARTELLI, Adrienne",USA,Women,quadruple sculls with coxswain (4x),W,Bronze
London,2012,Athletics,Athletics,"WELLS, Kellie",USA,Women,100m hurdles,W,Bronze
London,2012,Wrestling,Wrestling Gre-R,"SOBIROV, Rishod",UZB,Men,- 60kg (featherweight),M,Bronze
London,2012,Wrestling,Wrestling Free.,"TIGIEV, Soslan",UZB,Men,68 - 74kg (welterweight),M,Bronze
London,2012,Boxing,Boxing,"ATOEV, Abbos",UZB,Men,65.77 - 71.67kg (middleweight),M,Bronze
London,2012,Boxing,Boxing,"GVOZDYK, Oleksandr",UKR,Men,75 - 81kg (light-heavyweight),M,Bronze
London,2012,Boxing,Boxing,"SHELESTYUK, Taras",UKR,Men,61.24 - 65.77kg (welterweight),M,Bronze
London,2012,Athletics,Athletics,"SALADUHA, Olha",UKR,Women,triple jump,W,Bronze
London,2012,Athletics,Athletics,"POVH, Olesya",UKR,Women,4x100m relay,W,Bronze
London,2012,Athletics,Athletics,"RYEMYEN, Mariya",UKR,Women,4x100m relay,W,Bronze
London,2012,Athletics,Athletics,"STUY, Hrystyna",UKR,Women,4x100m relay,W,Bronze
London,2012,Fencing,Fencing,"KHARLAN, Olga",UKR,Women,sabre individual,W,Bronze
London,2012,Athletics,Athletics,"BRYZGINA, Elyzaveta",UKR,Women,4x100m relay,W,Bronze
London,2012,Rowing,Rowing,"KOHLER, Kara",USA,Women,quadruple sculls with coxswain (4x),W,Bronze
London,2012,Athletics,Athletics,"ALLEYNE,-FORTE Ade",TRI,Men,4x400m relay,M,Bronze
London,2012,Gymnastics,Artistic G.,"RADIVILOV, Igor",UKR,Men,vault,M,Bronze
London,2012,Table Tennis,Table Tennis,"WANG, Yuegu",SIN,Women,team,W,Bronze
London,2012,Table Tennis,Table Tennis,"LI, Jiawei",SIN,Women,team,W,Bronze
London,2012,Athletics,Athletics,"LENDORE, Deon",TRI,Men,4x400m relay,M,Bronze
London,2012,Athletics,Athletics,"SOLOMON, Jarrin",TRI,Men,4x400m relay,M,Bronze
London,2012,Athletics,Athletics,"THOMPSON, Richard",TRI,Men,4x100m relay,M,Bronze
London,2012,Wrestling,Wrestling Gre-R,"KAYAALP, Riza",TUR,Men,96 - 120kg,M,Bronze
London,2012,Rowing,Rowing,"SPIK, Luka",SLO,Men,double sculls (2x),M,Bronze
London,2012,Weightlifting,Weightlifting,"KALINA, Yuliya",UKR,Women,58kg,W,Bronze
London,2012,Rowing,Rowing,"COP, Iztok",SLO,Men,double sculls (2x),M,Bronze
London,2012,Shooting,Shooting,"DEBEVEC, Rajmond",SLO,Men,50m rifle prone (60 shots),M,Bronze
London,2012,Shooting,Shooting,"ZLATIC, Andrija",SRB,Men,10m air pistol (40 shots),M,Bronze
London,2012,Shooting,Shooting,"BARTEKOVA, Danka",SVK,Women,skeet (125 targets),W,Bronze
